length	errors	shape	method	threshold	seconds
100	8	11111111101111	lemma	0	0.000002
100	8	11111111101111	apx	4	0.000020
100	8	11111111101111	ilp	3	0.301952123642
100	8	11111111101111	exact	3	0.033818
100	8	111001001010011101	lemma	3	0.000001
100	8	111001001010011101	apx	16	0.000006
100	8	111001001010011101	ilp	15	1.08233785629
100	8	111001001010011101	exact	15	0.264934
100	8	1110100111010011101	lemma	0	0.000001
100	8	1110100111010011101	apx	9	0.000006
100	8	1110100111010011101	ilp	8	0.417330026627
100	8	1110100111010011101	exact	8	0.440564
100	8	111010010000001000000101010011	lemma	0	0.000001
100	8	111010010000001000000101010011	apx	9	0.000006
100	8	111010010000001000000101010011	ilp	7	0.199666023254
100	8	111010010000001000000101010011	exact	7	31.598221
100	8	1101010001100000000010110100011	lemma	0	0.000001
100	8	1101010001100000000010110100011	apx	7	0.000006
100	8	1101010001100000000010110100011	ilp	5	0.244889974594
100	8	1101010001100000000010110100011	exact	5	42.409317
100	8	1010100010000010101000100000101010001	lemma	0	0.000001
100	8	1010100010000010101000100000101010001	apx	6	0.000005
100	8	1010100010000010101000100000101010001	ilp	4	0.0647208690643
100	8	1010100010000010101000100000101010001	exact	4	223.525079
100	9	11111111101111	lemma	0	0.000001
100	9	11111111101111	apx	3	0.000006
100	9	11111111101111	ilp	2	1.23585581779
100	9	11111111101111	exact	2	0.047900
100	9	111001001010011101	lemma	0	0.000001
100	9	111001001010011101	apx	12	0.000005
100	9	111001001010011101	ilp	11	3.13587903976
100	9	111001001010011101	exact	11	0.473386
100	9	1110100111010011101	lemma	0	0.000001
100	9	1110100111010011101	apx	5	0.000006
100	9	1110100111010011101	ilp	5	0.922852039337
100	9	1110100111010011101	exact	5	0.850300
100	9	111010010000001000000101010011	lemma	0	0.000001
100	9	111010010000001000000101010011	apx	6	0.000006
100	9	111010010000001000000101010011	ilp	5	0.385410070419
100	9	111010010000001000000101010011	exact	5	93.771751
100	9	1101010001100000000010110100011	lemma	0	0.000001
100	9	1101010001100000000010110100011	apx	4	0.000006
100	9	1101010001100000000010110100011	ilp	2	0.311433076859
100	9	1101010001100000000010110100011	exact	2	131.722397
100	9	1010100010000010101000100000101010001	lemma	0	0.000001
100	9	1010100010000010101000100000101010001	apx	4	0.000006
100	9	1010100010000010101000100000101010001	ilp	3	0.07941198349
100	9	1010100010000010101000100000101010001	exact	3	885.376041
100	10	11111111101111	lemma	0	0.000001
100	10	11111111101111	apx	2	0.000006
100	10	11111111101111	ilp	0	0.0175440311432
100	10	11111111101111	exact	0	0.071157
100	10	111001001010011101	lemma	0	0.000001
100	10	111001001010011101	apx	8	0.000006
100	10	111001001010011101	ilp	8	5.145362854
100	10	111001001010011101	exact	8	0.790997
100	10	1110100111010011101	lemma	0	0.000001
100	10	1110100111010011101	apx	2	0.000006
100	10	1110100111010011101	ilp	2	0.695833921432
100	10	1110100111010011101	exact	2	1.435332
100	10	111010010000001000000101010011	lemma	0	0.000001
100	10	111010010000001000000101010011	apx	3	0.000006
100	10	111010010000001000000101010011	ilp	1	0.322850942612
100	10	111010010000001000000101010011	exact	1	244.836698
100	10	1101010001100000000010110100011	lemma	0	0.000001
100	10	1101010001100000000010110100011	apx	2	0.000006
100	10	1101010001100000000010110100011	ilp	0	0.0226550102234
100	10	1101010001100000000010110100011	exact	0	360.193006
100	10	1010100010000010101000100000101010001	lemma	0	0.000001
100	10	1010100010000010101000100000101010001	apx	2	0.000006
100	10	1010100010000010101000100000101010001	ilp	2	0.111572980881
